material_type,weight_kg,quality,location,demand_level,historical_price,processing_cost,transportation_distance,month,seller_type,buyer_demand,material_condition,price_per_kg
Plastic,149.9,Low,Mumbai,Moderate,33.72,5.71,16.2,8,Individual,0.52,Baled,25.66
Cardboard,107.9,High,Delhi,High,13.81,4.78,27.2,12,Individual,0.53,Contaminated,9.62
E-waste,1347.5,Industrial Grade,Delhi,High,127.31,2.25,142.2,10,Municipal Collector,0.7,Clean,195.63
E-waste,1045.8,High,Delhi,Moderate,121.98,9.1,113.4,9,Municipal Collector,0.45,Sorted,144.44
Plastic,834.0,Low,Delhi,Moderate,36.26,12.38,102.0,6,Business,0.89,Mixed,20.02
Steel,1152.1,High,Chennai,Low,39.86,13.27,67.1,11,Business,0.48,Mixed,30.1
Glass,211.4,Medium,Delhi,Moderate,7.68,12.82,114.0,5,Industrial Recycler,0.36,Mixed,3.2
Aluminum,298.5,High,Coimbatore,High,166.19,4.59,142.7,1,Business,0.41,Sorted,225.02
Steel,871.9,Industrial Grade,Ahmedabad,Low,42.71,6.8,42.2,12,Individual,0.97,Clean,47.41
Copper,145.6,Medium,Mumbai,High,639.25,14.46,103.2,10,Business,0.8,Sorted,732.62
Copper,83.8,Medium,Surat,Low,602.27,9.36,120.5,2,Industrial Recycler,0.67,Clean,594.84
Glass,215.2,High,Coimbatore,Low,8.59,3.37,124.2,7,Industrial Recycler,0.74,Baled,4.27
E-waste,385.7,Medium,Surat,High,126.25,8.04,117.3,9,Industrial Recycler,0.71,Mixed,117.34
Glass,1803.9,Medium,Hyderabad,Moderate,7.79,10.69,87.6,8,Municipal Collector,0.65,Clean,3.2
Glass,1661.0,Medium,Mumbai,High,8.49,9.75,45.6,6,Industrial Recycler,0.69,Mixed,3.7
Cardboard,199.0,Medium,Ahmedabad,High,14.33,10.98,114.9,9,Municipal Collector,0.64,Clean,9.02
Aluminum,187.6,High,Hyderabad,High,181.54,6.8,101.3,5,Municipal Collector,0.54,Sorted,246.53
Cardboard,369.3,Low,Mumbai,Low,13.31,3.57,41.5,5,Municipal Collector,0.38,Sorted,7.42
Cardboard,46.4,Medium,Mumbai,High,14.22,11.88,90.5,12,Municipal Collector,0.99,Contaminated,5.6
Plastic,156.9,Low,Mumbai,Moderate,32.45,3.65,107.7,1,Individual,0.34,Contaminated,14.0
Paper,98.3,Medium,Surat,High,11.39,7.73,73.1,5,Business,0.34,Mixed,6.45
E-waste,158.6,High,Chennai,Moderate,113.26,2.7,96.3,10,Municipal Collector,0.69,Clean,136.68
Paper,577.6,High,Surat,High,12.04,4.93,119.7,10,Municipal Collector,0.62,Contaminated,5.15
E-waste,671.4,Low,Surat,Moderate,112.31,14.48,13.7,10,Industrial Recycler,0.83,Baled,93.29
Plastic,249.3,Low,Bengaluru,High,34.72,2.03,15.9,9,Individual,0.72,Clean,33.41
Paper,403.7,High,Ahmedabad,Moderate,12.55,14.01,104.7,2,Industrial Recycler,0.74,Contaminated,4.8
Plastic,67.3,Industrial Grade,Bengaluru,Low,33.13,2.93,124.9,5,Individual,0.52,Clean,35.14
Other,123.2,Low,Mumbai,High,15.1,5.54,63.4,12,Municipal Collector,0.61,Mixed,8.38
Other,40.8,High,Surat,Low,15.42,4.98,8.8,5,Industrial Recycler,0.9,Mixed,12.29
Other,28.4,High,Bengaluru,Low,14.47,7.75,80.2,8,Business,1.0,Sorted,9.4
Textile,378.8,Industrial Grade,Delhi,Moderate,26.48,3.36,51.6,6,Industrial Recycler,0.59,Clean,34.72
E-waste,115.8,Low,Ahmedabad,Low,129.03,6.2,50.6,2,Business,0.58,Mixed,77.16
Cardboard,607.1,High,Coimbatore,Moderate,14.0,10.09,80.2,4,Municipal Collector,0.61,Baled,12.13
Aluminum,94.0,Medium,Mumbai,Low,166.43,8.3,132.7,8,Individual,0.74,Sorted,141.74
Plastic,228.6,Medium,Kolkata,Low,37.31,14.9,18.5,7,Business,0.62,Sorted,27.68
Copper,559.4,Medium,Kolkata,Low,699.95,12.85,44.6,12,Industrial Recycler,0.47,Mixed,571.69
Cardboard,869.7,Medium,Chennai,High,13.64,13.11,117.0,5,Individual,0.85,Mixed,6.11
Paper,158.4,High,Surat,Low,11.33,8.37,149.8,10,Industrial Recycler,0.68,Sorted,4.8
Glass,68.9,Low,Ahmedabad,Low,7.67,14.75,131.1,6,Municipal Collector,0.57,Baled,3.2
Textile,234.8,High,Delhi,Low,28.68,12.3,148.3,7,Municipal Collector,0.41,Sorted,21.76
Aluminum,667.2,Medium,Chennai,Low,166.04,13.84,19.5,8,Industrial Recycler,0.4,Baled,154.87
Steel,63.9,High,Surat,Moderate,40.85,3.04,62.6,12,Industrial Recycler,0.77,Mixed,39.88
Cardboard,108.1,Industrial Grade,Kolkata,Low,14.41,5.05,94.5,1,Municipal Collector,0.5,Sorted,12.12
Plastic,24.6,High,Ahmedabad,High,32.46,13.74,105.6,3,Business,0.86,Mixed,29.74
Paper,73.5,Low,Hyderabad,Moderate,11.39,10.86,64.7,9,Individual,0.42,Sorted,4.8
Other,608.7,Industrial Grade,Ahmedabad,Low,14.41,7.99,25.8,10,Individual,0.48,Baled,12.86
Aluminum,547.7,Industrial Grade,Chennai,Low,174.22,14.84,142.1,8,Individual,0.97,Sorted,194.23
Paper,155.4,Industrial Grade,Ahmedabad,High,12.14,9.43,39.4,2,Municipal Collector,0.99,Sorted,13.27
Paper,216.8,High,Surat,Moderate,12.79,14.66,117.9,11,Business,0.82,Mixed,4.8
Paper,966.0,Medium,Hyderabad,Moderate,12.51,11.82,41.3,10,Individual,0.78,Baled,8.02
Steel,555.9,High,Coimbatore,Moderate,44.75,3.71,57.9,10,Municipal Collector,0.53,Clean,52.83
Textile,249.2,Medium,Kolkata,High,26.91,12.8,137.5,9,Industrial Recycler,0.88,Contaminated,11.63
E-waste,174.1,Low,Chennai,High,123.39,4.93,114.4,3,Municipal Collector,0.77,Sorted,117.42
Textile,518.7,Low,Mumbai,Moderate,29.12,6.79,22.9,9,Business,0.48,Clean,22.03
Textile,811.9,Low,Ahmedabad,Low,27.23,14.26,94.8,1,Individual,0.73,Clean,15.17
Copper,359.1,Industrial Grade,Chennai,Low,701.58,2.48,11.6,3,Municipal Collector,0.38,Sorted,853.05
Plastic,128.6,Medium,Kolkata,Moderate,37.16,11.45,90.2,7,Industrial Recycler,0.76,Mixed,25.13
E-waste,32.3,Industrial Grade,Hyderabad,High,117.36,5.07,69.5,8,Industrial Recycler,0.99,Sorted,162.97
Glass,538.5,Low,Hyderabad,Moderate,7.48,12.71,142.6,2,Industrial Recycler,0.45,Clean,3.2
Other,1720.4,High,Bengaluru,Moderate,15.13,12.79,34.8,10,Individual,0.71,Clean,13.63
Plastic,1676.9,Low,Mumbai,Low,36.67,9.02,148.2,3,Business,0.38,Contaminated,14.0
Aluminum,263.1,Medium,Surat,Moderate,169.25,5.45,7.3,6,Individual,0.59,Clean,189.7
Copper,972.4,High,Kolkata,Moderate,696.32,8.55,20.8,10,Industrial Recycler,0.33,Mixed,713.62
Cardboard,426.9,Low,Coimbatore,Low,13.12,7.54,127.9,8,Business,0.8,Mixed,5.6
E-waste,1395.6,High,Chennai,Moderate,120.93,10.23,44.9,3,Individual,0.53,Clean,160.85
Other,71.1,Low,Chennai,Low,15.91,10.51,21.6,12,Municipal Collector,0.69,Mixed,6.0
Plastic,497.3,Industrial Grade,Pune,High,33.95,11.48,62.8,8,Municipal Collector,0.52,Mixed,37.09
Paper,695.0,Low,Chennai,Low,11.23,3.21,125.6,2,Municipal Collector,0.82,Contaminated,4.8
Steel,617.0,High,Chennai,Low,43.68,10.65,56.3,7,Industrial Recycler,0.91,Baled,41.76
Aluminum,193.8,Low,Chennai,Moderate,179.49,4.01,78.6,10,Industrial Recycler,0.89,Baled,153.8
Glass,848.7,Low,Delhi,Moderate,8.15,12.64,146.3,9,Individual,0.75,Clean,3.2
Aluminum,1242.3,Low,Mumbai,High,169.73,4.36,55.9,6,Industrial Recycler,0.76,Clean,172.11
Copper,378.0,Medium,Delhi,High,630.41,4.05,70.8,7,Individual,0.53,Clean,797.63
Other,544.9,High,Surat,High,15.39,5.54,102.7,1,Individual,0.64,Clean,17.49
E-waste,625.3,Industrial Grade,Pune,High,121.79,10.82,21.1,7,Business,0.67,Sorted,177.56
Paper,226.2,High,Coimbatore,Moderate,11.3,4.75,48.7,4,Business,0.48,Contaminated,6.15
Glass,255.5,High,Bengaluru,Moderate,8.0,11.15,60.1,3,Municipal Collector,0.88,Clean,4.36
Glass,38.3,High,Delhi,Low,7.76,3.01,71.7,1,Business,0.6,Mixed,3.56
Textile,333.3,Industrial Grade,Coimbatore,High,27.82,14.32,29.9,6,Municipal Collector,0.78,Sorted,34.12
Glass,466.8,High,Delhi,High,8.47,3.02,63.1,10,Individual,0.82,Mixed,6.78
Plastic,35.5,Low,Kolkata,High,34.17,12.09,33.1,9,Business,0.97,Contaminated,14.0
Steel,389.3,Medium,Hyderabad,High,43.05,11.88,92.3,3,Industrial Recycler,0.42,Clean,48.12
E-waste,754.8,Industrial Grade,Surat,Low,126.99,10.12,97.1,11,Municipal Collector,0.74,Baled,148.18
Steel,64.6,Industrial Grade,Mumbai,Moderate,39.14,6.58,90.8,5,Municipal Collector,0.62,Clean,47.79
Aluminum,46.5,High,Chennai,Moderate,182.31,7.0,91.1,10,Business,0.97,Sorted,214.64
Aluminum,527.3,Industrial Grade,Pune,Low,167.38,3.96,74.0,10,Individual,0.37,Baled,202.11
Glass,667.5,High,Coimbatore,Low,8.03,14.88,107.6,4,Individual,0.73,Baled,3.2
Glass,215.0,Low,Pune,Moderate,8.19,12.26,91.7,11,Municipal Collector,0.35,Sorted,3.2
Copper,812.8,Industrial Grade,Pune,Moderate,634.38,3.84,89.5,2,Individual,0.98,Sorted,875.35
Textile,60.9,Medium,Mumbai,Low,29.4,12.29,59.6,9,Business,0.77,Baled,19.23
Cardboard,32.8,High,Coimbatore,Low,13.65,14.37,49.8,6,Industrial Recycler,0.84,Mixed,5.6
Plastic,115.2,Medium,Mumbai,High,36.34,9.02,78.6,2,Business,0.67,Contaminated,24.5
Glass,105.1,Medium,Bengaluru,Moderate,8.4,12.02,125.5,3,Individual,0.42,Baled,3.2
E-waste,646.9,High,Ahmedabad,Moderate,119.02,11.73,46.3,10,Individual,0.67,Mixed,113.93
Paper,559.7,Industrial Grade,Ahmedabad,Moderate,11.84,8.54,117.8,5,Municipal Collector,0.41,Contaminated,4.8
Plastic,493.0,Medium,Pune,High,35.09,11.25,140.5,9,Municipal Collector,0.39,Sorted,33.58
Copper,292.0,Medium,Delhi,Moderate,644.92,4.89,142.2,2,Individual,0.54,Sorted,691.97
Aluminum,729.1,Industrial Grade,Hyderabad,Moderate,166.41,6.87,149.2,7,Industrial Recycler,0.95,Clean,221.33
Glass,27.2,Medium,Ahmedabad,High,7.96,11.86,125.5,12,Industrial Recycler,0.73,Contaminated,3.2
Copper,71.5,High,Kolkata,High,678.72,7.5,93.3,12,Individual,0.47,Sorted,931.09
Copper,358.3,High,Chennai,Moderate,653.75,8.5,126.3,2,Municipal Collector,0.74,Contaminated,527.89
Other,304.4,Medium,Coimbatore,Moderate,14.25,9.42,56.2,10,Municipal Collector,0.77,Contaminated,6.0
Cardboard,274.2,Low,Delhi,Low,13.72,7.03,11.3,8,Business,0.82,Clean,7.81
Glass,43.2,High,Surat,High,7.81,3.73,114.7,12,Business,0.54,Sorted,5.69
Steel,254.7,Industrial Grade,Bengaluru,Low,38.89,14.27,108.8,2,Individual,0.44,Mixed,31.22
Plastic,990.7,High,Kolkata,Moderate,33.27,11.79,41.7,8,Municipal Collector,0.55,Sorted,36.37
Aluminum,557.5,Low,Delhi,High,176.74,13.63,112.8,7,Industrial Recycler,0.98,Sorted,159.11
E-waste,460.7,Industrial Grade,Chennai,Low,129.51,7.6,66.6,12,Industrial Recycler,0.43,Sorted,148.66
Paper,1428.6,Low,Mumbai,High,11.36,11.33,69.7,5,Industrial Recycler,0.61,Clean,4.81
E-waste,535.4,High,Mumbai,Low,111.84,14.32,147.1,11,Municipal Collector,0.75,Sorted,113.4
Glass,326.5,Medium,Coimbatore,High,7.83,12.12,14.7,3,Municipal Collector,0.57,Clean,4.96
Other,264.0,High,Pune,High,14.13,3.0,69.4,6,Municipal Collector,0.56,Baled,16.73
Glass,1644.5,Low,Bengaluru,High,7.51,13.88,80.1,8,Business,0.84,Contaminated,3.2
E-waste,212.1,Medium,Hyderabad,Moderate,113.72,2.96,24.7,2,Municipal Collector,0.8,Baled,126.23
Copper,951.8,Low,Kolkata,Low,614.38,5.9,47.1,9,Business,0.8,Sorted,445.91
Steel,616.6,Low,Hyderabad,High,41.07,8.42,39.3,3,Business,0.7,Baled,37.38
E-waste,515.7,Medium,Mumbai,High,120.49,11.35,149.9,7,Business,0.84,Baled,139.48
Other,833.5,High,Ahmedabad,Moderate,15.91,6.48,103.6,8,Business,0.85,Contaminated,7.41
Other,185.7,Medium,Chennai,Moderate,14.57,4.14,27.2,9,Business,0.8,Contaminated,7.69
Glass,842.1,Low,Kolkata,Moderate,8.04,5.94,23.1,5,Individual,0.65,Clean,4.26
Steel,2348.5,Medium,Surat,Low,38.95,2.37,124.7,1,Industrial Recycler,0.75,Contaminated,19.5
Other,769.0,Low,Surat,Low,15.11,13.56,9.4,11,Municipal Collector,0.75,Contaminated,6.0
Paper,228.4,Industrial Grade,Mumbai,Low,11.88,2.78,15.6,8,Municipal Collector,0.64,Contaminated,7.83
Plastic,722.3,Low,Pune,High,34.43,6.49,148.3,12,Industrial Recycler,0.83,Baled,27.11
Cardboard,74.4,High,Chennai,High,12.99,3.83,70.2,5,Municipal Collector,0.96,Sorted,14.1
Other,895.7,Industrial Grade,Surat,High,15.0,11.92,50.3,12,Industrial Recycler,0.66,Contaminated,9.26
E-waste,212.9,Low,Delhi,High,121.6,5.13,71.3,9,Business,0.33,Mixed,91.6
Paper,25.4,Industrial Grade,Mumbai,Low,11.3,3.4,6.2,9,Municipal Collector,0.49,Baled,11.37
Glass,1199.0,Industrial Grade,Coimbatore,High,7.73,6.71,86.5,10,Municipal Collector,0.57,Sorted,6.22
E-waste,1518.5,Low,Bengaluru,Low,116.91,12.33,62.1,2,Business,0.96,Baled,87.24
Steel,1524.0,Medium,Kolkata,Low,40.88,3.78,11.6,1,Municipal Collector,0.63,Baled,41.05
E-waste,317.5,Medium,Pune,Low,122.24,7.11,51.2,10,Individual,0.89,Baled,113.61
Other,193.5,Low,Surat,Low,14.59,2.22,73.9,5,Municipal Collector,0.38,Baled,8.65
Textile,717.9,Low,Mumbai,Low,28.35,12.09,118.5,11,Municipal Collector,0.8,Clean,13.3
Other,804.1,Industrial Grade,Bengaluru,Low,15.48,9.44,40.1,11,Municipal Collector,0.43,Contaminated,6.98
E-waste,418.7,Low,Hyderabad,High,119.45,9.95,77.8,7,Municipal Collector,0.89,Mixed,90.9
Aluminum,311.3,Medium,Ahmedabad,High,178.84,14.44,59.6,9,Industrial Recycler,0.67,Baled,205.3
Cardboard,82.3,Low,Hyderabad,Low,14.99,5.88,45.5,4,Municipal Collector,0.99,Sorted,7.84
Paper,97.2,Medium,Pune,Moderate,11.57,12.34,140.4,9,Municipal Collector,0.39,Mixed,4.8
Cardboard,73.3,Industrial Grade,Mumbai,Moderate,13.66,11.28,46.7,1,Individual,0.61,Mixed,9.98
Paper,63.9,Industrial Grade,Kolkata,High,12.46,3.42,44.4,12,Industrial Recycler,0.47,Contaminated,9.31
Aluminum,882.6,Medium,Delhi,High,187.8,3.31,109.0,6,Business,0.3,Contaminated,148.94
Cardboard,632.5,Medium,Ahmedabad,Low,13.6,14.53,33.9,11,Municipal Collector,0.75,Mixed,5.6
Copper,1491.1,Medium,Bengaluru,Low,693.64,4.29,132.9,7,Business,1.0,Baled,667.92
Textile,2154.4,Industrial Grade,Coimbatore,Low,29.92,9.84,48.3,1,Industrial Recycler,0.53,Contaminated,18.87
E-waste,63.6,Industrial Grade,Mumbai,Low,124.44,6.3,122.3,4,Municipal Collector,0.75,Contaminated,94.61
Steel,770.6,High,Bengaluru,Moderate,44.2,13.66,129.1,10,Individual,0.66,Sorted,42.78
Copper,1204.1,Industrial Grade,Ahmedabad,High,637.89,2.09,140.7,6,Individual,0.61,Clean,1040.17
Paper,78.9,Low,Mumbai,Low,12.32,5.07,57.1,11,Business,0.63,Sorted,5.12
Steel,336.2,Industrial Grade,Chennai,Low,42.77,5.84,137.8,11,Industrial Recycler,0.45,Baled,44.63
Steel,49.0,Industrial Grade,Delhi,Moderate,42.25,8.12,84.6,12,Industrial Recycler,0.76,Contaminated,31.79
Plastic,457.8,Medium,Kolkata,High,32.83,13.92,57.5,12,Municipal Collector,0.88,Baled,34.01
Cardboard,1657.4,Medium,Bengaluru,Low,14.4,7.74,128.9,6,Individual,0.8,Baled,6.99
E-waste,1034.8,High,Ahmedabad,Moderate,111.51,7.94,79.4,3,Business,0.62,Baled,140.86
Paper,146.5,High,Hyderabad,Moderate,12.38,7.51,15.6,10,Business,0.68,Mixed,9.11
Aluminum,2498.4,High,Delhi,High,193.78,11.96,116.5,3,Industrial Recycler,0.75,Mixed,239.57
Textile,58.3,Low,Delhi,Moderate,28.18,10.6,104.0,2,Municipal Collector,0.76,Mixed,13.53
Glass,390.2,High,Kolkata,Low,7.36,4.89,110.5,3,Municipal Collector,0.32,Contaminated,3.2
Paper,516.3,Industrial Grade,Hyderabad,Moderate,11.4,4.02,71.8,4,Municipal Collector,0.91,Baled,12.37
Copper,513.8,High,Hyderabad,Low,644.43,9.72,14.8,4,Business,0.77,Mixed,639.17
Aluminum,458.9,Medium,Hyderabad,Moderate,167.23,13.23,36.5,9,Municipal Collector,0.65,Clean,176.37
Paper,504.0,Medium,Hyderabad,Moderate,12.04,14.81,132.1,5,Industrial Recycler,0.59,Baled,4.8
Paper,182.4,High,Delhi,Low,12.85,14.64,76.9,9,Individual,0.77,Baled,5.56
Cardboard,238.0,Low,Mumbai,Moderate,13.42,8.99,31.7,7,Individual,0.46,Mixed,5.6
Steel,458.1,Industrial Grade,Delhi,Low,40.35,7.05,81.8,9,Municipal Collector,0.53,Clean,41.73
Copper,860.5,Industrial Grade,Coimbatore,High,602.11,9.86,59.7,5,Individual,0.35,Sorted,930.95
Other,597.2,Medium,Mumbai,High,15.58,4.47,35.7,1,Industrial Recycler,0.82,Mixed,13.8
E-waste,290.9,Medium,Delhi,Low,117.71,12.08,85.1,4,Individual,0.67,Baled,113.07
Glass,1369.5,Low,Ahmedabad,Moderate,8.33,11.39,121.4,2,Municipal Collector,0.52,Sorted,3.2
Plastic,851.8,Low,Surat,Moderate,35.3,2.21,112.5,4,Business,0.71,Sorted,27.1
Textile,2202.1,Low,Hyderabad,High,28.23,5.19,87.6,7,Industrial Recycler,0.96,Contaminated,13.84
Glass,259.7,Low,Ahmedabad,Low,7.54,6.58,111.3,3,Municipal Collector,0.68,Mixed,3.2
Steel,1771.9,High,Coimbatore,High,40.2,12.95,64.8,1,Business,0.8,Baled,52.7
Aluminum,336.2,Medium,Coimbatore,Moderate,191.89,14.14,97.5,10,Industrial Recycler,0.76,Baled,198.53
Aluminum,287.9,High,Coimbatore,Low,193.75,5.57,81.8,1,Municipal Collector,0.31,Baled,213.81
Textile,1020.2,Medium,Hyderabad,High,27.35,5.28,94.9,4,Individual,0.86,Clean,30.98
Copper,858.1,Low,Hyderabad,Moderate,665.99,13.02,104.2,5,Individual,0.9,Mixed,516.26
Aluminum,1468.1,High,Kolkata,Moderate,170.54,2.12,13.1,8,Municipal Collector,0.65,Mixed,179.83
Textile,967.4,Low,Hyderabad,High,28.3,11.0,135.7,4,Business,0.49,Baled,20.56
Copper,89.1,Low,Bengaluru,Low,613.0,4.69,7.3,6,Business,0.87,Baled,442.26
Textile,1560.1,High,Surat,High,27.48,9.03,103.2,7,Individual,0.82,Sorted,30.88
Copper,576.9,Low,Hyderabad,High,697.31,12.0,54.4,2,Municipal Collector,0.58,Clean,727.12
Glass,501.3,High,Hyderabad,Moderate,7.6,6.88,85.2,6,Municipal Collector,0.71,Sorted,3.99
Textile,576.7,High,Chennai,Moderate,29.27,6.94,43.9,2,Individual,0.41,Baled,34.17
Textile,387.3,Low,Coimbatore,High,26.22,11.9,69.5,5,Business,0.36,Sorted,18.85
Textile,975.9,Industrial Grade,Chennai,Low,28.43,9.2,18.0,1,Municipal Collector,0.85,Baled,32.29
Textile,421.4,High,Chennai,Moderate,30.14,13.77,135.7,12,Municipal Collector,0.7,Sorted,28.3
Steel,278.3,Industrial Grade,Mumbai,High,41.56,2.82,76.5,5,Industrial Recycler,0.59,Contaminated,38.79
E-waste,91.9,High,Ahmedabad,Moderate,113.0,7.95,94.4,10,Individual,0.3,Sorted,130.27
Textile,139.7,Low,Ahmedabad,Moderate,28.68,12.71,67.4,6,Industrial Recycler,0.72,Baled,18.31
Paper,93.3,Low,Ahmedabad,Low,11.65,7.18,30.8,6,Individual,0.81,Baled,4.8
E-waste,307.7,Medium,Delhi,Moderate,121.77,9.33,21.5,6,Industrial Recycler,0.68,Sorted,129.44
Cardboard,1192.5,High,Ahmedabad,Low,14.78,2.9,125.5,5,Individual,0.86,Mixed,9.38
E-waste,785.4,Medium,Bengaluru,High,119.02,6.9,66.4,12,Industrial Recycler,0.72,Sorted,135.02
Other,272.5,Industrial Grade,Kolkata,Low,15.95,6.67,119.7,1,Municipal Collector,0.68,Baled,13.6
Copper,1513.1,High,Bengaluru,Low,665.08,9.32,93.8,11,Industrial Recycler,0.75,Contaminated,483.73
Glass,99.5,Industrial Grade,Mumbai,High,8.1,8.74,79.0,4,Business,0.7,Clean,6.93
E-waste,169.4,Low,Pune,Moderate,128.07,5.84,75.0,1,Individual,0.36,Mixed,91.78
Steel,327.3,Low,Hyderabad,Moderate,41.58,8.19,75.0,9,Municipal Collector,0.79,Sorted,29.05
Glass,219.3,High,Coimbatore,High,7.57,10.8,99.0,6,Business,0.99,Sorted,3.2
Plastic,521.7,Medium,Kolkata,High,34.47,5.01,144.0,7,Industrial Recycler,0.43,Baled,35.84
Textile,89.0,Industrial Grade,Ahmedabad,Low,26.72,2.06,67.3,10,Individual,0.49,Clean,28.54
Copper,88.5,High,Pune,High,687.71,5.41,71.3,4,Industrial Recycler,0.67,Baled,960.78
Glass,232.1,Industrial Grade,Pune,Moderate,8.4,10.03,127.6,6,Business,0.79,Baled,3.74
Paper,1155.5,High,Hyderabad,Moderate,11.31,6.85,22.0,5,Business,0.57,Contaminated,6.73
Other,114.6,Medium,Bengaluru,Moderate,15.35,11.01,97.1,8,Municipal Collector,1.0,Baled,8.77
