date,material_type,quantity_requested,quantity_sold,average_price,number_of_buyers,number_of_transactions,location
2025-02-26,Aluminum,6711.1,5187.6,174.99,15,16,Chennai
2025-02-27,Aluminum,7090.4,6455.6,175.36,18,22,Kolkata
2025-02-28,Aluminum,7392.7,6031.6,181.41,16,16,Surat
2025-03-01,Aluminum,6079.5,5574.7,175.37,14,17,Mumbai
2025-03-02,Aluminum,4144.1,3416.0,184.98,13,12,Delhi
2025-03-03,Aluminum,7299.0,6793.6,185.77,17,22,Surat
2025-03-04,Aluminum,7450.4,6404.6,185.96,17,19,Mumbai
2025-03-05,Aluminum,7268.7,6904.1,174.92,17,15,Pune
2025-03-06,Aluminum,7766.5,7032.1,187.06,17,19,Mumbai
2025-03-07,Aluminum,7610.6,5814.1,181.8,17,17,Chennai
2025-03-08,Aluminum,6227.1,5454.1,186.17,15,21,Delhi
2025-03-09,Aluminum,3926.5,3650.1,187.28,9,12,Bengaluru
2025-03-10,Aluminum,7364.2,6564.0,178.3,16,14,Kolkata
2025-03-11,Aluminum,7307.2,6057.9,181.29,18,19,Chennai
2025-03-12,Aluminum,7104.6,6500.4,184.02,19,19,Hyderabad
2025-03-13,Aluminum,7523.0,5783.4,178.01,16,20,Coimbatore
2025-03-14,Aluminum,7262.1,6746.1,185.42,20,22,Pune
2025-03-15,Aluminum,6212.7,5622.7,182.19,17,19,Mumbai
2025-03-16,Aluminum,3930.1,3232.4,185.19,13,15,Mumbai
2025-03-17,Aluminum,7962.8,7428.8,171.58,21,26,Bengaluru
2025-03-18,Aluminum,7185.6,6398.9,179.3,16,16,Chennai
2025-03-19,Aluminum,7527.3,6275.6,180.15,16,23,Hyderabad
2025-03-20,Aluminum,7705.9,7263.6,179.47,19,21,Ahmedabad
2025-03-21,Aluminum,7303.6,6489.1,173.18,17,22,Coimbatore
2025-03-22,Aluminum,6311.8,5625.5,174.24,15,19,Bengaluru
2025-03-23,Aluminum,3909.5,3506.8,188.01,9,12,Kolkata
2025-03-24,Aluminum,7928.3,7340.9,186.11,18,25,Coimbatore
2025-03-25,Aluminum,7502.3,6244.6,187.42,17,22,Delhi
2025-03-26,Aluminum,7324.2,5951.2,187.23,16,23,Chennai
2025-03-27,Aluminum,7418.2,6526.3,176.58,18,17,Kolkata
2025-03-28,Aluminum,7755.1,7169.8,175.87,17,15,Mumbai
2025-03-29,Aluminum,5909.6,4721.4,186.06,15,12,Surat
2025-03-30,Aluminum,4072.7,3305.1,178.4,9,8,Kolkata
2025-03-31,Aluminum,7457.8,6228.5,172.17,18,20,Mumbai
2025-04-01,Aluminum,7174.5,5392.4,185.45,17,15,Ahmedabad
2025-04-02,Aluminum,8076.9,6625.6,182.18,21,27,Hyderabad
2025-04-03,Aluminum,7363.6,6211.1,176.76,17,17,Pune
2025-04-04,Aluminum,7785.4,7380.7,183.32,21,18,Bengaluru
2025-04-05,Aluminum,6165.2,5099.3,172.37,13,11,Hyderabad
2025-04-06,Aluminum,4013.2,3265.4,176.75,11,10,Surat
2025-04-07,Aluminum,7539.9,6550.1,174.16,17,16,Delhi
2025-04-08,Aluminum,7778.2,6939.9,178.79,20,24,Bengaluru
2025-04-09,Aluminum,7487.5,6469.0,175.21,20,21,Surat
2025-04-10,Aluminum,7902.7,6322.2,186.03,21,28,Hyderabad
2025-04-11,Aluminum,7851.6,6844.8,171.29,21,28,Mumbai
2025-04-12,Aluminum,6383.8,4949.8,182.77,15,15,Delhi
2025-04-13,Aluminum,4173.6,3484.7,174.2,10,10,Hyderabad
2025-04-14,Aluminum,7220.8,5706.7,176.4,19,22,Hyderabad
2025-04-15,Aluminum,7360.0,6921.7,175.63,19,20,Kolkata
2025-04-16,Aluminum,7601.9,6281.1,187.25,18,24,Kolkata
2025-04-17,Aluminum,7705.5,6449.0,185.55,18,17,Hyderabad
2025-04-18,Aluminum,6888.7,6168.8,174.18,19,28,Kolkata
2025-04-19,Aluminum,6100.0,4977.3,171.37,15,14,Coimbatore
2025-04-20,Aluminum,4353.8,3768.3,177.25,14,17,Kolkata
2025-04-21,Aluminum,7450.5,6790.3,188.8,20,20,Ahmedabad
2025-04-22,Aluminum,7918.5,7274.8,186.58,18,22,Surat
2025-04-23,Aluminum,7654.6,7078.4,178.6,18,17,Surat
2025-04-24,Aluminum,7917.9,6090.6,186.51,20,21,Mumbai
2025-04-25,Aluminum,7456.5,6275.3,185.45,20,19,Coimbatore
2025-04-26,Aluminum,6366.8,5745.4,185.37,16,16,Kolkata
2025-04-27,Aluminum,4783.9,4074.6,179.2,13,19,Surat
2025-04-28,Aluminum,7902.5,6946.4,183.01,21,31,Delhi
2025-04-29,Aluminum,7176.7,6028.4,180.7,19,19,Coimbatore
2025-04-30,Aluminum,7423.4,6174.2,172.92,16,23,Delhi
2025-05-01,Aluminum,7390.8,6406.7,172.53,18,22,Chennai
2025-05-02,Aluminum,7635.7,5850.2,188.34,17,23,Mumbai
2025-05-03,Aluminum,6263.7,5695.1,188.12,17,15,Delhi
2025-05-04,Aluminum,4021.0,3402.1,177.45,12,16,Coimbatore
2025-05-05,Aluminum,7491.4,6596.4,172.38,20,22,Coimbatore
2025-05-06,Aluminum,6858.6,6085.3,177.92,17,17,Bengaluru
2025-05-07,Aluminum,7890.4,6240.4,183.5,19,23,Delhi
2025-05-08,Aluminum,7297.2,6312.8,176.9,18,18,Coimbatore
2025-05-09,Aluminum,7460.4,6558.8,185.07,19,27,Surat
2025-05-10,Aluminum,5926.9,5382.8,175.13,15,15,Bengaluru
2025-05-11,Aluminum,4588.7,4198.5,184.49,12,17,Kolkata
2025-05-12,Aluminum,6569.3,5498.0,179.49,18,22,Pune
2025-05-13,Aluminum,7407.5,6743.1,173.24,16,22,Pune
2025-05-14,Aluminum,7372.3,5611.3,186.52,17,20,Ahmedabad
2025-05-15,Aluminum,7259.3,6065.6,174.1,19,27,Mumbai
2025-05-16,Aluminum,7904.4,6741.1,185.21,20,27,Hyderabad
2025-05-17,Aluminum,5706.0,4869.8,176.18,13,17,Delhi
2025-05-18,Aluminum,4441.9,4094.9,186.63,13,12,Kolkata
2025-05-19,Aluminum,7465.5,6122.9,171.34,16,13,Chennai
2025-05-20,Aluminum,7727.4,7109.4,173.54,20,24,Surat
2025-05-21,Aluminum,7138.9,5830.3,188.4,19,24,Coimbatore
2025-05-22,Aluminum,7109.0,6411.0,182.57,19,27,Bengaluru
2025-05-23,Aluminum,7647.3,7122.0,187.27,19,21,Kolkata
2025-05-24,Aluminum,6043.6,4987.2,179.55,14,15,Delhi
2025-05-25,Aluminum,3706.4,2888.5,188.02,11,10,Mumbai
2025-05-26,Aluminum,7124.5,6312.3,174.8,19,19,Kolkata
2025-05-27,Aluminum,7391.1,6697.6,177.8,17,16,Kolkata
2025-05-28,Aluminum,7515.3,5744.6,188.33,17,16,Ahmedabad
2025-05-29,Aluminum,7048.7,6244.6,172.6,15,17,Hyderabad
2025-05-30,Aluminum,6366.5,5842.2,186.95,16,16,Pune
2025-05-31,Aluminum,6009.0,5060.8,186.95,14,18,Bengaluru
2025-06-01,Aluminum,3757.9,3110.1,187.98,12,14,Coimbatore
2025-06-02,Aluminum,6599.7,5622.2,187.23,18,26,Surat
2025-06-03,Aluminum,6342.9,5376.7,179.93,17,25,Pune
2025-06-04,Aluminum,7424.3,6478.9,183.31,17,25,Kolkata
2025-06-05,Aluminum,7206.1,6432.0,173.49,17,24,Ahmedabad
2025-06-06,Aluminum,7087.1,6378.3,185.17,15,22,Hyderabad
2025-06-07,Aluminum,6198.2,5239.0,179.38,17,19,Coimbatore
2025-06-08,Aluminum,4264.8,3424.8,173.71,13,14,Pune
2025-06-09,Aluminum,7600.6,5822.8,181.74,18,17,Chennai
2025-06-10,Aluminum,6684.6,5115.1,184.58,15,19,Hyderabad
2025-06-11,Aluminum,7078.7,5393.1,181.59,15,19,Coimbatore
2025-06-12,Aluminum,6590.5,5695.5,176.0,14,19,Pune
2025-06-13,Aluminum,6993.1,5802.1,184.07,16,16,Mumbai
2025-06-14,Aluminum,5631.1,5036.9,177.18,16,24,Pune
2025-06-15,Aluminum,4207.6,3706.6,178.61,10,10,Bengaluru
2025-06-16,Aluminum,7034.1,6561.1,186.57,16,23,Delhi
2025-06-17,Aluminum,7193.4,6810.5,182.36,15,21,Coimbatore
2025-06-18,Aluminum,7203.3,5777.4,171.52,19,25,Chennai
2025-06-19,Aluminum,7624.5,5809.8,175.42,18,22,Pune
2025-06-20,Aluminum,6869.2,6284.6,172.4,19,24,Surat
2025-06-21,Aluminum,5343.4,4543.9,181.65,15,21,Chennai
2025-06-22,Aluminum,4036.7,3097.6,172.83,11,13,Ahmedabad
2025-06-23,Aluminum,6679.9,6062.1,175.98,17,15,Mumbai
2025-06-24,Aluminum,7350.6,6204.5,178.65,16,19,Delhi
2025-06-25,Aluminum,6806.4,5800.6,183.04,17,22,Surat
2025-06-26,Aluminum,6707.1,5582.5,183.08,17,20,Bengaluru
2025-06-27,Aluminum,6720.7,5992.4,171.28,16,21,Pune
2025-06-28,Aluminum,5758.6,4784.4,188.6,17,18,Kolkata
2025-06-29,Aluminum,3857.0,3387.9,172.22,10,13,Hyderabad
2025-06-30,Aluminum,6625.3,4973.8,174.25,15,17,Mumbai
2025-07-01,Aluminum,7302.7,6726.3,176.68,19,24,Surat
2025-07-02,Aluminum,6531.4,5597.4,174.15,15,13,Coimbatore
2025-07-03,Aluminum,6784.1,5569.1,174.89,15,18,Delhi
2025-07-04,Aluminum,6954.3,5260.6,179.72,18,25,Hyderabad
2025-07-05,Aluminum,4969.8,4275.8,186.08,13,15,Kolkata
2025-07-06,Aluminum,3989.2,3262.8,175.7,11,15,Bengaluru
2025-07-07,Aluminum,6397.6,4801.6,176.89,16,16,Coimbatore
2025-07-08,Aluminum,6946.1,6501.6,184.43,16,23,Hyderabad
2025-07-09,Aluminum,6395.7,5798.5,179.66,15,21,Chennai
2025-07-10,Aluminum,6877.6,5897.2,184.46,18,20,Ahmedabad
2025-07-11,Aluminum,6986.7,5909.4,172.72,15,22,Pune
2025-07-12,Aluminum,5633.9,4311.5,183.14,12,11,Kolkata
2025-07-13,Aluminum,3861.5,3184.9,175.82,12,16,Kolkata
2025-07-14,Aluminum,6541.6,5972.1,177.29,18,26,Kolkata
2025-07-15,Aluminum,6423.5,5286.1,174.02,14,16,Surat
2025-07-16,Aluminum,7023.3,5728.0,186.78,19,16,Surat
2025-07-17,Aluminum,6357.7,5432.7,183.71,14,20,Kolkata
2025-07-18,Aluminum,6242.0,5903.9,176.95,17,24,Chennai
2025-07-19,Aluminum,5493.0,4533.7,177.21,16,15,Kolkata
2025-07-20,Aluminum,3489.5,2760.6,186.37,12,11,Kolkata
2025-07-21,Aluminum,6225.5,5618.1,181.29,17,24,Coimbatore
2025-07-22,Aluminum,6063.3,5435.6,188.87,17,14,Mumbai
2025-07-23,Aluminum,6337.6,5851.1,174.4,15,19,Bengaluru
2025-07-24,Aluminum,6443.8,5234.6,173.83,18,25,Surat
2025-07-25,Aluminum,6527.8,5500.7,186.14,14,19,Chennai
2025-07-26,Aluminum,5499.7,4315.5,180.27,13,15,Hyderabad
2025-07-27,Aluminum,3831.0,3099.4,188.82,11,14,Chennai
2025-07-28,Aluminum,6356.9,5017.7,172.51,16,17,Coimbatore
2025-07-29,Aluminum,6341.4,5963.8,176.77,14,13,Mumbai
2025-07-30,Aluminum,6540.7,5293.8,179.1,18,16,Chennai
2025-07-31,Aluminum,6756.4,6274.9,182.1,18,19,Kolkata
2025-08-01,Aluminum,6399.6,5187.6,184.82,16,18,Delhi
2025-08-02,Aluminum,4998.9,3986.5,185.4,13,19,Mumbai
2025-08-03,Aluminum,3322.9,2571.7,181.05,9,11,Chennai
2025-08-04,Aluminum,5890.3,4584.3,187.9,17,17,Bengaluru
2025-08-05,Aluminum,6511.4,4955.3,176.52,14,20,Chennai
2025-08-06,Aluminum,6472.8,4884.3,188.49,17,25,Delhi
2025-08-07,Aluminum,6460.6,5737.0,172.68,14,20,Kolkata
2025-08-08,Aluminum,6236.9,5471.6,173.88,15,13,Chennai
2025-08-09,Aluminum,5492.8,4564.0,173.55,16,23,Bengaluru
2025-08-10,Aluminum,3427.6,3041.7,182.39,11,12,Delhi
2025-08-11,Aluminum,6527.7,5118.4,185.08,18,22,Delhi
2025-08-12,Aluminum,6218.4,5851.0,171.55,14,17,Ahmedabad
2025-08-13,Aluminum,6036.6,5219.2,187.78,13,17,Coimbatore
2025-08-14,Aluminum,6386.1,5230.6,175.15,16,18,Bengaluru
2025-08-15,Aluminum,6320.7,5437.4,179.21,15,14,Coimbatore
2025-08-16,Aluminum,5116.0,3884.7,182.62,14,20,Mumbai
2025-08-17,Aluminum,3554.3,3063.0,182.08,9,9,Hyderabad
2025-08-18,Aluminum,6156.1,5302.3,187.91,14,17,Chennai
2025-08-19,Aluminum,6874.3,5561.6,174.35,15,15,Kolkata
2025-08-20,Aluminum,6503.6,6028.3,185.45,14,18,Bengaluru
2025-08-21,Aluminum,6355.9,5928.2,188.06,17,14,Delhi
2025-08-22,Aluminum,6163.6,4676.8,180.94,14,19,Bengaluru
2025-08-23,Aluminum,5257.5,4218.8,178.53,14,20,Ahmedabad
2025-08-24,Aluminum,3648.4,2928.6,188.18,11,14,Surat
2025-08-25,Aluminum,6112.2,5765.1,171.75,17,14,Chennai
2025-08-26,Aluminum,6005.2,5266.0,188.5,17,20,Delhi
2025-08-27,Aluminum,6064.2,5023.8,183.38,14,12,Delhi
2025-08-28,Aluminum,5129.7,4185.0,186.14,14,19,Hyderabad
2025-08-29,Aluminum,6136.7,5234.4,179.86,17,25,Ahmedabad
2025-08-30,Aluminum,4764.4,4267.0,177.86,14,18,Surat
2025-08-31,Aluminum,3940.4,3446.6,175.28,10,11,Coimbatore
2025-09-01,Aluminum,6058.9,5049.1,173.3,14,19,Coimbatore
2025-09-02,Aluminum,5690.1,5274.4,188.86,13,15,Coimbatore
2025-09-03,Aluminum,6025.7,5630.5,179.68,17,17,Ahmedabad
2025-09-04,Aluminum,5721.1,5323.5,172.43,16,20,Hyderabad
2025-09-05,Aluminum,6171.5,5256.8,174.73,13,17,Mumbai
2025-09-06,Aluminum,4964.0,4573.7,180.38,13,17,Kolkata
2025-09-07,Aluminum,3726.9,2920.8,183.93,10,10,Surat
2025-09-08,Aluminum,5777.3,5154.9,173.2,16,22,Coimbatore
2025-09-09,Aluminum,6020.4,5667.6,175.2,16,14,Hyderabad
2025-09-10,Aluminum,5596.6,4856.2,186.89,15,17,Coimbatore
2025-09-11,Aluminum,6212.7,5678.5,176.96,14,12,Delhi
2025-09-12,Aluminum,6154.4,5223.1,185.54,15,21,Kolkata
2025-09-13,Aluminum,5002.3,4155.9,182.28,14,19,Pune
2025-09-14,Aluminum,3424.8,2828.9,182.89,12,17,Pune
2025-09-15,Aluminum,6114.3,5532.6,187.91,17,21,Bengaluru
2025-09-16,Aluminum,6468.9,5531.6,173.97,18,26,Chennai
2025-09-17,Aluminum,5900.0,5046.8,173.78,15,14,Delhi
2025-09-18,Aluminum,6025.3,5601.5,180.26,16,19,Mumbai
2025-09-19,Aluminum,5656.4,5013.3,185.97,15,22,Ahmedabad
2025-09-20,Aluminum,4581.4,3896.4,181.99,13,13,Kolkata
2025-09-21,Aluminum,3446.6,2735.8,188.52,10,12,Surat
2025-09-22,Aluminum,6310.9,5332.6,173.64,15,16,Hyderabad
2025-09-23,Aluminum,5902.6,4522.8,179.6,15,19,Pune
2025-09-24,Aluminum,5908.8,5140.3,173.86,17,22,Ahmedabad
2025-09-25,Aluminum,5857.9,4715.1,183.75,15,13,Chennai
2025-09-26,Aluminum,5820.2,5186.7,176.24,17,18,Bengaluru
2025-09-27,Aluminum,4930.7,4120.6,176.82,11,15,Chennai
2025-09-28,Aluminum,2969.6,2696.3,182.14,10,10,Hyderabad
2025-09-29,Aluminum,6368.8,5118.2,178.31,16,14,Pune
2025-09-30,Aluminum,5786.8,5241.3,178.84,13,16,Ahmedabad
2025-10-01,Aluminum,6205.3,5311.0,178.68,13,19,Coimbatore
2025-10-02,Aluminum,5610.3,4842.5,174.72,16,22,Coimbatore
2025-10-03,Aluminum,6194.8,5680.7,178.13,14,19,Chennai
2025-10-04,Aluminum,5056.5,4559.5,176.89,14,18,Bengaluru
2025-10-05,Aluminum,3544.3,2780.5,176.05,9,11,Kolkata
2025-10-06,Aluminum,5706.3,5183.5,174.87,16,15,Delhi
2025-10-07,Aluminum,6083.6,5061.8,171.88,17,23,Delhi
2025-10-08,Aluminum,5658.3,4984.9,171.89,12,16,Kolkata
2025-10-09,Aluminum,5942.1,5610.3,175.94,14,13,Mumbai
2025-10-10,Aluminum,6331.8,5449.8,172.3,16,23,Ahmedabad
2025-10-11,Aluminum,5119.1,4604.9,177.75,15,16,Ahmedabad
2025-10-12,Aluminum,3452.6,2661.5,177.23,10,10,Coimbatore
2025-10-13,Aluminum,5747.6,4707.3,181.54,15,12,Delhi
2025-10-14,Aluminum,6240.0,5284.7,175.81,16,20,Bengaluru
2025-10-15,Aluminum,6058.8,5144.9,171.87,15,20,Delhi
2025-10-16,Aluminum,5363.8,5015.3,186.35,14,17,Chennai
2025-10-17,Aluminum,6301.9,4861.4,183.44,18,25,Pune
2025-10-18,Aluminum,4910.3,4084.2,184.3,12,16,Pune
2025-10-19,Aluminum,3836.5,3443.5,174.07,9,13,Pune
2025-10-20,Aluminum,5762.1,5439.2,184.01,14,17,Coimbatore
2025-10-21,Aluminum,5146.2,4552.9,179.17,13,15,Chennai
2025-10-22,Aluminum,6191.6,5775.8,177.95,16,16,Surat
2025-10-23,Aluminum,6204.4,5113.4,179.6,17,17,Delhi
2025-10-24,Aluminum,5619.1,4217.2,181.1,12,17,Pune
2025-10-25,Aluminum,4673.7,3582.1,185.06,14,18,Chennai
2025-10-26,Aluminum,4338.5,3780.7,172.16,13,14,Chennai
2025-10-27,Aluminum,6064.5,4734.2,183.2,15,15,Mumbai
2025-10-28,Aluminum,6386.0,5560.9,173.97,15,19,Delhi
2025-10-29,Aluminum,5982.3,5584.7,182.16,14,16,Hyderabad
2025-10-30,Aluminum,5561.5,4746.6,182.59,16,18,Ahmedabad
2025-10-31,Aluminum,6148.9,5158.9,177.31,15,18,Coimbatore
2025-11-01,Aluminum,4948.8,4188.1,177.51,13,17,Mumbai
2025-11-02,Aluminum,3436.4,3023.1,183.75,10,10,Delhi
2025-11-03,Aluminum,6201.5,5317.2,182.83,13,13,Delhi
2025-11-04,Aluminum,6327.7,5759.1,174.14,15,20,Surat
2025-11-05,Aluminum,6216.1,4992.3,182.02,13,15,Hyderabad
2025-11-06,Aluminum,5895.0,4773.1,173.03,14,15,Ahmedabad
2025-11-07,Aluminum,6433.4,5425.4,188.89,14,12,Pune
2025-11-08,Aluminum,4516.1,3968.3,179.32,11,15,Surat
2025-11-09,Aluminum,2993.4,2820.3,175.33,7,10,Mumbai
2025-11-10,Aluminum,6550.8,5822.7,179.71,15,16,Pune
2025-11-11,Aluminum,6495.4,5479.9,180.01,17,17,Hyderabad
2025-11-12,Aluminum,6340.7,5190.0,182.67,17,17,Delhi
2025-11-13,Aluminum,5954.1,5101.4,186.76,15,17,Surat
2025-11-14,Aluminum,6175.5,5453.2,173.73,14,16,Pune
2025-11-15,Aluminum,5104.7,4185.4,171.32,15,20,Pune
2025-11-16,Aluminum,3189.1,2701.8,181.76,10,11,Kolkata
2025-11-17,Aluminum,6212.8,4781.0,178.36,13,12,Kolkata
2025-11-18,Aluminum,6646.3,6012.8,175.72,14,19,Delhi
2025-11-19,Aluminum,6895.0,5402.4,174.84,17,19,Mumbai
2025-11-20,Aluminum,6357.4,4791.2,172.83,17,23,Ahmedabad
2025-11-21,Aluminum,6726.9,5897.6,172.73,17,22,Ahmedabad
2025-11-22,Aluminum,4701.3,4203.3,185.52,11,16,Chennai
2025-11-23,Aluminum,3931.5,3385.8,183.85,13,13,Coimbatore
2025-11-24,Aluminum,6310.1,5386.6,174.9,16,17,Delhi
2025-11-25,Aluminum,6661.0,5045.1,179.31,15,18,Delhi
2025-11-26,Aluminum,6512.2,5015.4,172.4,16,20,Coimbatore
2025-11-27,Aluminum,7000.6,6173.2,171.71,15,17,Coimbatore
2025-11-28,Aluminum,6360.2,5966.0,179.28,16,19,Ahmedabad
2025-11-29,Aluminum,5564.2,4777.4,183.61,13,19,Pune
2025-11-30,Aluminum,3721.5,3024.7,172.76,9,8,Pune
2025-12-01,Aluminum,6630.4,5739.7,185.05,18,24,Surat
2025-12-02,Aluminum,6641.6,5544.7,178.23,15,16,Hyderabad
2025-12-03,Aluminum,6462.0,5868.3,179.76,15,16,Pune
2025-12-04,Aluminum,6730.6,5994.6,181.7,14,16,Ahmedabad
2025-12-05,Aluminum,6735.3,5224.0,180.61,15,15,Chennai
2025-12-06,Aluminum,5555.7,5241.3,175.15,14,19,Hyderabad
2025-12-07,Aluminum,3907.2,3408.7,172.34,10,8,Ahmedabad
2025-12-08,Aluminum,7052.3,6573.8,176.58,18,22,Surat
2025-12-09,Aluminum,7109.8,5654.7,178.29,16,16,Surat
2025-12-10,Aluminum,6537.6,5444.6,184.84,14,21,Mumbai
2025-12-11,Aluminum,7133.5,6092.2,171.4,15,19,Ahmedabad
2025-12-12,Aluminum,6537.2,5783.5,175.11,16,21,Delhi
2025-12-13,Aluminum,5773.0,5303.6,181.09,14,15,Coimbatore
2025-12-14,Aluminum,4148.2,3537.3,188.54,11,10,Delhi
2025-12-15,Aluminum,6381.2,5088.7,184.13,18,26,Chennai
2025-12-16,Aluminum,7003.1,5450.5,180.12,19,20,Surat
2025-12-17,Aluminum,6855.5,5283.8,185.58,16,24,Bengaluru
2025-12-18,Aluminum,6789.3,5194.6,182.28,16,16,Bengaluru
2025-12-19,Aluminum,7443.1,6780.8,172.49,16,19,Kolkata
2025-12-20,Aluminum,5518.2,4765.1,188.61,14,19,Mumbai
2025-12-21,Aluminum,3803.8,3152.8,184.65,11,12,Mumbai
2025-12-22,Aluminum,7123.9,6239.4,175.91,17,22,Bengaluru
2025-12-23,Aluminum,7328.1,6045.4,185.74,18,18,Chennai
2025-12-24,Aluminum,7101.2,5481.2,172.76,19,24,Pune
2025-12-25,Aluminum,7515.0,5764.5,177.88,19,18,Coimbatore
2025-12-26,Aluminum,7345.8,6518.9,173.6,17,20,Kolkata
2025-12-27,Aluminum,5181.5,3990.0,181.68,14,19,Delhi
2025-12-28,Aluminum,3972.3,3386.8,185.05,13,17,Mumbai
2025-12-29,Aluminum,7082.4,6532.7,187.9,17,18,Bengaluru
2025-12-30,Aluminum,7416.3,5808.2,188.03,18,23,Hyderabad
2025-12-31,Aluminum,6506.6,5138.0,176.83,14,20,Chennai
2025-01-01,Copper,4130.6,3237.6,630.96,18,15,Coimbatore
2025-01-02,Copper,3790.2,3227.9,674.6,17,25,Ahmedabad
2025-01-03,Copper,3736.1,3480.5,620.5,18,15,Delhi
2025-01-04,Copper,3220.5,2841.4,648.91,12,18,Hyderabad
2025-01-05,Copper,2544.8,2303.3,642.02,14,15,Ahmedabad
2025-01-06,Copper,3900.8,3254.1,648.88,14,17,Bengaluru
2025-01-07,Copper,3927.2,3698.2,649.93,14,14,Kolkata
2025-01-08,Copper,3796.9,3489.8,643.16,14,18,Chennai
2025-01-09,Copper,3762.0,3198.5,670.4,15,12,Bengaluru
2025-01-10,Copper,3716.3,3075.0,636.83,16,22,Mumbai
2025-01-11,Copper,2941.6,2567.9,647.87,11,13,Chennai
2025-01-12,Copper,2065.5,1714.9,638.49,9,11,Coimbatore
2025-01-13,Copper,3601.4,2979.7,676.76,17,14,Surat
