transaction_id,date,material_type,quantity_kg,agreed_price_per_kg,total_amount,status,co2_avoided_kg,landfill_diverted_kg
TX-10050,2025-07-09,Aluminum,2624.4,199.56,523725.26,completed,23882.04,2493.18
TX-10051,2025-08-28,Other,2130.8,15.33,32665.16,completed,1704.64,2024.26
TX-10052,2026-05-14,Paper,670.0,11.84,7932.8,completed,737.0,636.5
TX-10053,2025-09-01,Paper,1061.4,12.76,13543.46,completed,1167.54,1008.33
TX-10054,2026-02-28,Steel,2021.6,42.19,85291.3,completed,3638.88,1920.52
TX-10055,2026-02-10,Aluminum,2096.0,184.0,385664.0,completed,19073.6,1991.2
TX-10056,2026-02-15,Plastic,887.0,37.18,32978.66,completed,1330.5,842.65
TX-10057,2025-10-04,Copper,2230.0,631.45,1408133.5,completed,10035.0,2118.5
TX-10058,2026-04-13,Paper,310.2,13.13,4072.93,completed,341.22,294.69
TX-10059,2026-05-24,Glass,2637.0,8.78,23152.86,completed,922.95,2505.15
TX-10060,2025-06-27,Paper,2286.7,12.65,28926.75,completed,2515.37,2172.36
TX-10061,2025-12-31,Paper,2151.6,11.23,24162.47,completed,2366.76,2044.02
TX-10062,2025-06-12,Other,2002.5,15.73,31499.33,completed,1602.0,1902.38
TX-10063,2025-11-26,Other,2325.3,15.16,35251.55,completed,1860.24,2209.03
TX-10064,2025-11-16,Steel,753.3,38.65,29115.04,completed,1355.94,715.63
TX-10065,2025-10-18,Cardboard,1166.8,13.52,15775.14,completed,1166.8,1108.46
TX-10066,2025-10-17,Paper,2681.5,12.86,34484.09,completed,2949.65,2547.42
TX-10067,2025-10-09,Glass,2034.6,7.46,15178.12,in_negotiation,712.11,1932.87
TX-10068,2025-07-26,Plastic,1746.2,38.74,67647.79,completed,2619.3,1658.89
TX-10069,2026-03-14,E-waste,1514.7,110.76,167768.17,completed,8785.26,1438.96
TX-10070,2026-03-25,Plastic,129.6,32.47,4208.11,completed,194.4,123.12
TX-10071,2025-09-04,Plastic,2250.7,33.31,74970.82,completed,3376.05,2138.16
TX-10072,2025-11-17,Aluminum,2060.0,193.28,398156.8,completed,18746.0,1957.0
TX-10073,2025-12-13,Glass,2465.9,8.78,21650.6,completed,863.06,2342.61
TX-10074,2025-12-08,E-waste,1184.5,118.68,140576.46,completed,6870.1,1125.27
TX-10075,2026-05-21,Cardboard,697.9,15.64,10915.16,completed,697.9,663.0
TX-10076,2026-04-05,Plastic,1762.3,34.22,60305.91,completed,2643.45,1674.18
TX-10077,2026-05-16,Other,1085.8,16.71,18143.72,completed,868.64,1031.51
TX-10078,2026-01-14,Glass,1663.5,8.21,13657.34,completed,582.22,1580.32
TX-10079,2025-06-08,Cardboard,2052.6,14.46,29680.6,completed,2052.6,1949.97
TX-10080,2025-10-03,Cardboard,1831.8,14.33,26249.69,completed,1831.8,1740.21
TX-10081,2026-03-15,Copper,1827.4,654.18,1195448.53,completed,8223.3,1736.03
TX-10082,2026-05-15,Other,1591.8,15.01,23892.92,completed,1273.44,1512.21
TX-10083,2026-01-17,Aluminum,2273.4,177.89,404415.13,completed,20687.94,2159.73
TX-10084,2026-05-14,Glass,2252.0,8.38,18871.76,completed,788.2,2139.4
TX-10085,2025-08-20,Plastic,1370.2,38.78,53136.36,completed,2055.3,1301.69
TX-10086,2026-01-15,Cardboard,1102.2,14.15,15596.13,completed,1102.2,1047.09
TX-10087,2026-03-10,Other,2618.5,15.79,41346.11,completed,2094.8,2487.57
TX-10088,2026-05-06,Glass,2723.5,7.43,20235.6,completed,953.22,2587.32
TX-10089,2025-06-25,Other,2665.7,16.74,44623.82,completed,2132.56,2532.41
TX-10090,2026-04-20,Aluminum,1226.8,174.95,214628.66,completed,11163.88,1165.46
TX-10091,2026-02-09,E-waste,610.9,114.43,69905.29,completed,3543.22,580.35
TX-10092,2025-10-16,Paper,88.4,12.19,1077.6,completed,97.24,83.98
TX-10093,2026-02-03,Other,288.1,15.42,4442.5,completed,230.48,273.69
TX-10094,2025-08-01,Aluminum,249.3,167.69,41805.12,completed,2268.63,236.84
TX-10095,2026-02-06,Textile,2733.9,29.18,79775.2,pending,8748.48,2597.2
TX-10096,2025-12-20,Copper,1874.2,679.93,1274324.81,completed,8433.9,1780.49
TX-10097,2025-07-13,Textile,2937.5,30.11,88448.12,completed,9400.0,2790.62
TX-10098,2025-10-19,Textile,1476.1,31.31,46216.69,completed,4723.52,1402.29
TX-10099,2025-09-21,Other,1072.4,15.13,16225.41,completed,857.92,1018.78
TX-10100,2026-05-25,Steel,2136.4,43.21,92313.84,completed,3845.52,2029.58
TX-10101,2025-06-06,Plastic,1971.7,32.73,64533.74,completed,2957.55,1873.12
TX-10102,2025-09-22,Cardboard,576.5,13.81,7961.47,in_negotiation,576.5,547.67
TX-10103,2025-07-01,Aluminum,2525.4,183.32,462956.33,completed,22981.14,2399.13
TX-10104,2025-12-11,Textile,2148.5,27.26,58568.11,completed,6875.2,2041.07
TX-10105,2025-12-11,Cardboard,121.4,13.71,1664.39,completed,121.4,115.33
TX-10106,2025-07-20,Plastic,1223.6,33.18,40599.05,completed,1835.4,1162.42
TX-10107,2025-12-13,Paper,2518.5,11.65,29340.53,completed,2770.35,2392.57
TX-10108,2025-06-20,Copper,1173.3,700.79,822236.91,completed,5279.85,1114.63
TX-10109,2026-04-26,E-waste,748.8,132.19,98983.87,completed,4343.04,711.36
TX-10110,2025-08-24,Other,263.6,14.17,3735.21,completed,210.88,250.42
TX-10111,2026-01-22,Aluminum,524.8,187.49,98394.75,completed,4775.68,498.56
TX-10112,2026-01-28,Paper,1880.9,13.31,25034.78,completed,2068.99,1786.86
TX-10113,2025-07-24,Aluminum,1983.1,182.02,360963.86,completed,18046.21,1883.94
TX-10114,2025-10-17,Textile,1421.6,30.63,43543.61,completed,4549.12,1350.52
TX-10115,2026-03-04,Glass,1907.9,8.09,15434.91,completed,667.76,1812.51
TX-10116,2025-06-11,Other,2664.9,16.22,43224.68,completed,2131.92,2531.65
TX-10117,2025-11-11,E-waste,1918.0,128.41,246290.38,completed,11124.4,1822.1
TX-10118,2026-04-05,E-waste,2932.6,130.4,382411.04,completed,17009.08,2785.97
TX-10119,2026-04-13,Other,2162.6,15.55,33628.43,completed,1730.08,2054.47
TX-10120,2026-02-26,E-waste,882.9,127.59,112649.21,completed,5120.82,838.75
TX-10121,2025-09-20,Steel,2324.2,43.16,100312.47,completed,4183.56,2207.99
TX-10122,2025-09-08,Plastic,830.5,33.68,27971.24,completed,1245.75,788.97
TX-10123,2025-08-29,Cardboard,126.8,14.18,1798.02,completed,126.8,120.46
TX-10124,2025-08-18,Aluminum,1208.3,193.29,233552.31,completed,10995.53,1147.88
TX-10125,2026-01-15,Paper,1074.3,12.99,13955.16,completed,1181.73,1020.58
TX-10126,2025-10-27,Textile,2380.2,26.26,62504.05,completed,7616.64,2261.19
TX-10127,2025-08-11,Cardboard,1057.4,13.17,13925.96,completed,1057.4,1004.53
TX-10128,2026-04-21,Steel,646.9,40.26,26044.19,completed,1164.42,614.55
TX-10129,2025-08-23,Cardboard,314.7,15.12,4758.26,completed,314.7,298.96
TX-10130,2025-09-24,Textile,2071.2,30.61,63399.43,completed,6627.84,1967.64
TX-10131,2025-10-11,Aluminum,1682.5,200.64,337576.8,completed,15310.75,1598.38
TX-10132,2026-03-02,Aluminum,2672.6,184.16,492186.02,completed,24320.66,2538.97
TX-10133,2025-07-25,Copper,540.5,645.75,349027.88,completed,2432.25,513.48
TX-10134,2026-05-26,Paper,2645.2,11.18,29573.34,in_negotiation,2909.72,2512.94
TX-10135,2026-02-03,E-waste,424.3,112.8,47861.04,completed,2460.94,403.08
TX-10136,2026-02-20,Textile,361.8,28.92,10463.26,completed,1157.76,343.71
TX-10137,2025-12-30,E-waste,2705.9,133.78,361995.3,completed,15694.22,2570.61
TX-10138,2025-07-14,Steel,1034.8,46.47,48087.16,completed,1862.64,983.06
TX-10139,2025-07-29,E-waste,264.4,121.25,32058.5,completed,1533.52,251.18
TX-10140,2026-03-01,Textile,1260.7,29.37,37026.76,completed,4034.24,1197.66
TX-10141,2025-07-22,Paper,907.9,13.17,11957.04,completed,998.69,862.5
TX-10142,2025-11-07,Other,1311.8,15.51,20346.02,completed,1049.44,1246.21
TX-10143,2025-10-28,E-waste,2932.2,118.63,347846.89,completed,17006.76,2785.59
TX-10144,2025-12-12,E-waste,1638.2,130.43,213670.43,completed,9501.56,1556.29
TX-10145,2026-02-02,E-waste,2443.2,115.71,282702.67,completed,14170.56,2321.04
TX-10146,2025-07-16,Glass,1194.7,8.8,10513.36,completed,418.14,1134.96
TX-10147,2026-05-09,Steel,1969.9,44.16,86990.78,completed,3545.82,1871.4
TX-10148,2025-07-22,Aluminum,831.9,191.68,159458.59,completed,7570.29,790.3
TX-10149,2026-05-31,Glass,1957.1,7.46,14599.97,completed,684.98,1859.24
TX-10150,2025-11-27,Copper,1950.2,697.79,1360830.06,completed,8775.9,1852.69
TX-10151,2026-05-08,Textile,1912.0,27.01,51643.12,completed,6118.4,1816.4
TX-10152,2026-02-05,Paper,2737.1,11.4,31202.94,completed,3010.81,2600.24
TX-10153,2025-07-09,Textile,2121.0,27.78,58921.38,pending,6787.2,2014.95
TX-10154,2026-05-28,Other,1066.5,15.85,16904.02,completed,853.2,1013.17
TX-10155,2026-02-14,Plastic,2332.0,32.84,76582.88,completed,3498.0,2215.4
TX-10156,2026-05-16,Other,2918.3,16.5,48151.95,completed,2334.64,2772.39
TX-10157,2026-03-08,Steel,2218.6,42.91,95200.13,completed,3993.48,2107.67
TX-10158,2025-12-21,Textile,208.0,30.4,6323.2,completed,665.6,197.6
TX-10159,2026-03-22,Aluminum,1628.7,178.25,290315.78,completed,14821.17,1547.26
TX-10160,2025-09-19,Cardboard,826.0,13.44,11101.44,completed,826.0,784.7
TX-10161,2025-12-26,Plastic,786.6,35.25,27727.65,completed,1179.9,747.27
TX-10162,2026-02-11,Cardboard,1356.6,14.64,19860.62,completed,1356.6,1288.77
TX-10163,2025-10-24,Plastic,1487.4,34.26,50958.32,completed,2231.1,1413.03
TX-10164,2026-05-27,Copper,1302.0,648.39,844203.78,completed,5859.0,1236.9
TX-10165,2026-02-07,Cardboard,2248.3,13.56,30486.95,completed,2248.3,2135.89
TX-10166,2026-02-11,Paper,939.2,12.49,11730.61,completed,1033.12,892.24
TX-10167,2026-02-26,Textile,747.0,27.45,20505.15,completed,2390.4,709.65
TX-10168,2026-04-23,Other,558.1,16.35,9124.94,completed,446.48,530.2
TX-10169,2026-03-14,Steel,2143.2,38.98,83541.94,completed,3857.76,2036.04
TX-10170,2026-02-25,Paper,2379.4,11.95,28433.83,completed,2617.34,2260.43
TX-10171,2025-09-23,Plastic,351.1,38.67,13577.04,completed,526.65,333.55
TX-10172,2025-08-06,Copper,2027.7,721.63,1463249.15,completed,9124.65,1926.32
TX-10173,2025-12-19,E-waste,2949.3,115.75,341381.48,completed,17105.94,2801.84
TX-10174,2026-04-15,Copper,1354.9,710.73,962968.08,completed,6097.05,1287.15
TX-10175,2026-01-04,E-waste,1056.2,114.77,121220.07,completed,6125.96,1003.39
TX-10176,2025-12-23,Paper,2542.2,12.0,30506.4,completed,2796.42,2415.09
TX-10177,2025-12-29,Copper,1798.5,606.65,1091060.02,completed,8093.25,1708.57
TX-10178,2025-07-24,E-waste,780.2,126.9,99007.38,completed,4525.16,741.19
TX-10179,2025-10-31,Cardboard,1016.7,14.68,14925.16,completed,1016.7,965.87
TX-10180,2025-06-04,Glass,1895.6,7.93,15032.11,completed,663.46,1800.82
TX-10181,2026-05-16,Paper,1030.9,12.3,12680.07,completed,1133.99,979.36
TX-10182,2026-01-01,Textile,971.6,28.33,27525.43,completed,3109.12,923.02
TX-10183,2026-03-07,Plastic,2016.1,33.03,66591.78,completed,3024.15,1915.29
TX-10184,2026-02-09,Aluminum,1630.5,174.06,283804.83,completed,14837.55,1548.97
TX-10185,2026-03-04,Paper,570.6,13.24,7554.74,completed,627.66,542.07
TX-10186,2025-12-03,Paper,424.1,13.02,5521.78,completed,466.51,402.89
TX-10187,2026-03-02,Cardboard,400.2,15.32,6131.06,completed,400.2,380.19
TX-10188,2025-10-06,Glass,962.2,8.14,7832.31,completed,336.77,914.09
TX-10189,2025-11-07,Glass,1251.8,8.65,10828.07,completed,438.13,1189.21
TX-10190,2026-05-02,Other,372.2,15.76,5865.87,completed,297.76,353.59
TX-10191,2025-09-22,E-waste,1726.1,126.25,217920.12,completed,10011.38,1639.79
TX-10192,2026-03-23,Steel,1544.0,44.12,68121.28,completed,2779.2,1466.8
TX-10193,2026-02-22,Glass,788.7,8.26,6514.66,completed,276.05,749.26
TX-10194,2026-05-12,Aluminum,342.2,182.11,62318.04,completed,3114.02,325.09
TX-10195,2026-02-06,E-waste,2107.1,132.35,278874.68,completed,12221.18,2001.74
TX-10196,2025-11-21,Cardboard,624.2,15.21,9494.08,completed,624.2,592.99
TX-10197,2025-07-20,Other,2059.4,14.65,30170.21,completed,1647.52,1956.43
TX-10198,2025-06-08,Paper,2740.8,11.04,30258.43,completed,3014.88,2603.76
TX-10199,2026-04-01,Cardboard,2214.2,13.35,29559.57,completed,2214.2,2103.49
TX-10200,2025-10-12,Textile,2492.9,29.15,72668.04,completed,7977.28,2368.26
TX-10201,2026-03-12,Glass,2259.1,7.41,16739.93,completed,790.68,2146.14
TX-10202,2026-01-24,Plastic,1291.3,34.45,44485.29,completed,1936.95,1226.73
TX-10203,2026-03-12,Glass,1385.4,7.57,10487.48,completed,484.89,1316.13
TX-10204,2025-09-30,Steel,1672.9,41.87,70044.32,completed,3011.22,1589.26
TX-10205,2025-06-23,Textile,2963.3,28.86,85520.84,completed,9482.56,2815.14
TX-10206,2025-06-14,Cardboard,2023.9,13.22,26755.96,completed,2023.9,1922.7
TX-10207,2026-02-17,Cardboard,89.8,14.84,1332.63,completed,89.8,85.31
TX-10208,2025-09-08,Glass,1395.4,7.61,10618.99,pending,488.39,1325.63
TX-10209,2026-02-01,Cardboard,1907.4,15.08,28763.59,completed,1907.4,1812.03
TX-10210,2025-06-27,Steel,2729.6,47.03,128373.09,completed,4913.28,2593.12
TX-10211,2025-07-02,Copper,2955.9,668.51,1976048.71,completed,13301.55,2808.11
TX-10212,2026-03-20,Textile,2226.9,31.02,69078.44,completed,7126.08,2115.55
TX-10213,2026-01-26,Other,1166.5,15.74,18360.71,completed,933.2,1108.17
TX-10214,2025-10-16,Glass,253.8,8.72,2213.14,completed,88.83,241.11
TX-10215,2026-03-15,Other,225.6,13.81,3115.54,completed,180.48,214.32
TX-10216,2026-01-19,Steel,2214.9,43.85,97123.37,completed,3986.82,2104.16
TX-10217,2025-11-05,Other,2554.2,16.6,42399.72,completed,2043.36,2426.49
TX-10218,2025-09-19,Textile,1029.8,30.07,30966.09,completed,3295.36,978.31
TX-10219,2025-08-25,Other,2125.3,14.97,31815.74,completed,1700.24,2019.04
TX-10220,2026-02-05,Cardboard,1952.4,13.63,26611.21,completed,1952.4,1854.78
TX-10221,2025-07-16,Other,206.4,14.22,2935.01,completed,165.12,196.08
TX-10222,2025-10-01,Plastic,1110.4,38.14,42350.66,completed,1665.6,1054.88
TX-10223,2025-08-16,E-waste,2682.1,125.99,337917.78,completed,15556.18,2547.99
TX-10224,2026-04-28,Plastic,1571.1,36.46,57282.31,completed,2356.65,1492.54
TX-10225,2026-05-06,Copper,1819.6,643.52,1170948.99,pending,8188.2,1728.62
TX-10226,2026-02-05,Cardboard,1128.8,12.93,14595.38,completed,1128.8,1072.36
TX-10227,2025-12-27,Other,304.6,15.96,4861.42,completed,243.68,289.37
TX-10228,2026-05-13,Aluminum,2581.9,199.26,514469.39,completed,23495.29,2452.8
TX-10229,2026-01-26,Textile,1720.6,29.27,50361.96,completed,5505.92,1634.57
TX-10230,2025-09-04,Aluminum,1419.4,193.71,274951.97,completed,12916.54,1348.43
TX-10231,2025-10-19,Copper,1018.5,632.22,643916.07,completed,4583.25,967.57
TX-10232,2026-03-15,Copper,2859.5,722.59,2066246.1,completed,12867.75,2716.53
TX-10233,2026-02-18,Steel,874.7,45.22,39553.93,completed,1574.46,830.97
TX-10234,2025-10-17,E-waste,1781.4,111.43,198501.4,completed,10332.12,1692.33
TX-10235,2026-01-02,Steel,592.4,46.3,27428.12,completed,1066.32,562.78
TX-10236,2025-11-25,Textile,2218.3,30.47,67591.6,in_negotiation,7098.56,2107.39
TX-10237,2026-05-03,E-waste,596.9,110.91,66202.18,completed,3462.02,567.05
TX-10238,2025-11-30,Aluminum,1397.7,166.34,232493.42,completed,12719.07,1327.82
TX-10239,2025-10-25,E-waste,2599.0,133.55,347096.45,completed,15074.2,2469.05
TX-10240,2026-01-15,Glass,998.5,7.59,7578.61,completed,349.47,948.57
TX-10241,2025-11-17,Steel,1064.3,45.52,48446.94,completed,1915.74,1011.08
TX-10242,2026-04-22,Glass,1293.9,7.4,9574.86,completed,452.87,1229.2
TX-10243,2026-01-04,Paper,2463.0,12.79,31501.77,completed,2709.3,2339.85
TX-10244,2026-05-22,Glass,1977.3,7.54,14908.84,completed,692.05,1878.43
TX-10245,2025-08-18,Textile,855.9,26.81,22946.68,completed,2738.88,813.1
TX-10246,2026-02-03,Paper,2051.2,11.05,22665.76,pending,2256.32,1948.64
TX-10247,2025-07-30,Glass,1737.9,7.42,12895.22,completed,608.26,1651.01
TX-10248,2025-08-11,E-waste,959.4,116.86,112115.48,completed,5564.52,911.43
TX-10249,2025-12-02,Other,2436.0,15.22,37075.92,completed,1948.8,2314.2
TX-10250,2025-10-26,Steel,1621.3,42.71,69245.72,completed,2918.34,1540.23
TX-10251,2025-06-28,Plastic,2834.6,35.92,101818.83,completed,4251.9,2692.87
TX-10252,2026-05-09,Steel,1633.0,38.89,63507.37,completed,2939.4,1551.35
TX-10253,2025-06-19,Aluminum,2162.5,195.46,422682.25,completed,19678.75,2054.38
TX-10254,2025-11-05,E-waste,1901.3,126.6,240704.58,completed,11027.54,1806.23
TX-10255,2025-08-08,Paper,184.4,11.41,2104.0,completed,202.84,175.18
TX-10256,2026-03-16,Glass,1456.4,7.91,11520.12,completed,509.74,1383.58
TX-10257,2026-03-12,Textile,2335.2,29.97,69985.94,completed,7472.64,2218.44
TX-10258,2025-12-11,E-waste,1065.5,121.18,129117.29,completed,6179.9,1012.22
TX-10259,2025-08-11,Glass,1029.0,8.02,8252.58,completed,360.15,977.55
TX-10260,2026-03-04,Textile,1112.3,29.82,33168.79,completed,3559.36,1056.68
TX-10261,2025-10-15,Textile,2958.0,28.57,84510.06,completed,9465.6,2810.1
TX-10262,2025-11-06,Textile,2630.6,28.62,75287.77,completed,8417.92,2499.07
TX-10263,2025-06-27,Aluminum,208.6,177.96,37122.46,completed,1898.26,198.17
TX-10264,2025-11-22,Paper,2553.1,11.61,29641.49,completed,2808.41,2425.44
TX-10265,2025-11-26,Cardboard,451.9,13.62,6154.88,completed,451.9,429.3
TX-10266,2025-10-25,Cardboard,899.1,12.9,11598.39,completed,899.1,854.14
TX-10267,2025-12-08,Paper,153.9,12.64,1945.3,completed,169.29,146.21
TX-10268,2026-02-02,Plastic,169.1,36.42,6158.62,completed,253.65,160.64
TX-10269,2025-07-04,Copper,1591.6,674.77,1073963.93,completed,7162.2,1512.02
TX-10270,2026-03-01,Plastic,1952.6,38.19,74569.79,completed,2928.9,1854.97
TX-10271,2025-11-26,Other,1010.8,14.64,14798.11,completed,808.64,960.26
TX-10272,2025-07-23,Cardboard,2012.3,13.57,27306.91,completed,2012.3,1911.68
TX-10273,2025-10-26,Steel,275.8,44.25,12204.15,completed,496.44,262.01
TX-10274,2025-07-15,E-waste,288.9,110.54,31935.01,completed,1675.62,274.45
TX-10275,2026-01-13,Textile,2106.6,28.34,59701.04,completed,6741.12,2001.27
TX-10276,2025-12-12,Plastic,202.2,34.05,6884.91,completed,303.3,192.09
TX-10277,2026-03-31,Aluminum,1583.3,187.33,296599.59,completed,14408.03,1504.13
TX-10278,2025-09-23,Paper,2069.1,12.42,25698.22,completed,2276.01,1965.64
TX-10279,2026-04-06,Paper,656.2,12.57,8248.43,completed,721.82,623.39
TX-10280,2026-05-23,Textile,2848.1,28.75,81882.88,completed,9113.92,2705.69
TX-10281,2025-12-31,Cardboard,290.4,14.65,4254.36,completed,290.4,275.88
TX-10282,2026-05-07,Cardboard,1467.5,14.17,20794.47,completed,1467.5,1394.12
TX-10283,2026-02-24,Glass,2038.0,8.22,16752.36,completed,713.3,1936.1
TX-10284,2025-12-30,Other,1921.7,14.29,27461.09,completed,1537.36,1825.62
TX-10285,2026-03-16,E-waste,2221.4,125.76,279363.26,completed,12884.12,2110.33
TX-10286,2025-09-08,Glass,2006.6,7.57,15189.96,completed,702.31,1906.27
TX-10287,2025-11-11,Glass,2105.9,8.14,17142.03,completed,737.06,2000.61
TX-10288,2025-11-02,Cardboard,2783.0,14.62,40687.46,completed,2783.0,2643.85
TX-10289,2026-01-03,E-waste,1741.0,119.38,207840.58,completed,10097.8,1653.95
TX-10290,2026-04-24,Copper,553.2,665.06,367911.19,completed,2489.4,525.54
TX-10291,2026-02-21,E-waste,763.2,131.2,100131.84,completed,4426.56,725.04
TX-10292,2026-05-22,Cardboard,2084.9,13.86,28896.71,completed,2084.9,1980.65
TX-10293,2025-08-27,Copper,2222.9,697.44,1550339.38,in_negotiation,10003.05,2111.76
TX-10294,2026-03-26,Glass,2164.6,7.68,16624.13,completed,757.61,2056.37
TX-10295,2025-06-29,Cardboard,2895.6,13.39,38772.08,completed,2895.6,2750.82
TX-10296,2025-07-10,E-waste,2755.3,128.78,354827.53,in_negotiation,15980.74,2617.53
TX-10297,2025-10-17,E-waste,2325.8,118.39,275351.46,completed,13489.64,2209.51
TX-10298,2026-04-02,Paper,420.4,13.01,5469.4,completed,462.44,399.38
TX-10299,2026-05-25,E-waste,211.4,115.33,24380.76,completed,1226.12,200.83
TX-10300,2025-08-06,Aluminum,1597.8,168.27,268861.81,pending,14539.98,1517.91
TX-10301,2026-04-20,Aluminum,2566.8,179.56,460894.61,completed,23357.88,2438.46
TX-10302,2025-09-15,Paper,662.5,12.67,8393.88,completed,728.75,629.38
TX-10303,2025-09-15,Textile,774.6,27.81,21541.63,completed,2478.72,735.87
TX-10304,2026-04-23,Textile,578.7,30.27,17517.25,completed,1851.84,549.76
TX-10305,2025-06-20,E-waste,2444.0,118.34,289222.96,completed,14175.2,2321.8
TX-10306,2025-10-16,Copper,2050.1,722.35,1480889.73,completed,9225.45,1947.59
TX-10307,2025-07-19,Glass,1450.8,8.4,12186.72,completed,507.78,1378.26
TX-10308,2025-12-05,Cardboard,178.5,14.92,2663.22,completed,178.5,169.57
TX-10309,2026-03-02,Paper,1122.8,11.97,13439.92,completed,1235.08,1066.66
TX-10310,2025-10-04,Steel,1034.7,44.14,45671.66,completed,1862.46,982.97
TX-10311,2025-10-10,Steel,154.8,41.32,6396.34,completed,278.64,147.06
TX-10312,2025-09-30,Glass,184.1,8.01,1474.64,completed,64.43,174.89
TX-10313,2025-09-24,Copper,1857.8,598.55,1111986.19,completed,8360.1,1764.91
TX-10314,2026-04-06,Cardboard,448.9,13.9,6239.71,completed,448.9,426.45
TX-10315,2025-10-16,Plastic,201.9,35.64,7195.72,completed,302.85,191.81
TX-10316,2026-03-15,Textile,2394.4,31.25,74825.0,completed,7662.08,2274.68
